"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"65 jaar of ouder";"Waarde";"2020";"Zuid Pijp";"Amsterdam                               ";"Wijk      ";"WK036326            ";"     8.4";"    24.1"
"65 jaar of ouder";"Waarde";"2020";"Diamantbuurt";"Amsterdam                               ";"Buurt     ";"BU03632600          ";"     8.5";"    24.2"
"65 jaar of ouder";"Waarde";"2020";"Burgemeester Tellegenbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03632601          ";"     8.3";"    23.8"
"65 jaar of ouder";"Waarde";"2020";"Burgemeester Tellegenbuurt West";"Amsterdam                               ";"Buurt     ";"BU03632602          ";"     8.3";"    24.5"
"65 jaar of ouder";"Waarde";"2020";"Weesperzijde";"Amsterdam                               ";"Wijk      ";"WK036327            ";"     5.0";"    15.5"
"65 jaar of ouder";"Waarde";"2020";"Swammerdambuurt";"Amsterdam                               ";"Buurt     ";"BU03632700          ";"     4.1";"    10.3"
"65 jaar of ouder";"Waarde";"2020";"Weesperzijde Midden/Zuid";"Amsterdam                               ";"Buurt     ";"BU03632701          ";"     5.2";"    17.1"
"65 jaar of ouder";"Waarde";"2020";"Parooldriehoek";"Amsterdam                               ";"Buurt     ";"BU03632702          ";"       .";"       ."
"65 jaar of ouder";"Waarde";"2020";"Oosterparkbuurt";"Amsterdam                               ";"Wijk      ";"WK036328            ";"     8.7";"    22.8"
"65 jaar of ouder";"Waarde";"2020";"Oosterparkbuurt Noordwest";"Amsterdam                               ";"Buurt     ";"BU03632800          ";"     8.5";"    24.2"
"65 jaar of ouder";"Waarde";"2020";"Oosterpark";"Amsterdam                               ";"Buurt     ";"BU03632801          ";"     5.6";"    20.2"
"65 jaar of ouder";"Waarde";"2020";"Oosterparkbuurt Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03632802          ";"     7.9";"    19.0"
"65 jaar of ouder";"Waarde";"2020";"Oosterparkbuurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03632803          ";"     9.9";"    25.4"
