"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2012";"Holendrecht Oost";"Amsterdam                               ";"Buurt     ";"BU03639602          ";"     6.7";"    30.9"
"18 tot 65 jaar";"Waarde";"2012";"Gaasperdam Noord";"Amsterdam                               ";"Buurt     ";"BU03639603          ";"    10.8";"    43.1"
"18 tot 65 jaar";"Waarde";"2012";"Gaasperdam Zuid";"Amsterdam                               ";"Buurt     ";"BU03639604          ";"    10.9";"    44.3"
"18 tot 65 jaar";"Waarde";"2012";"Reigersbos Midden";"Amsterdam                               ";"Buurt     ";"BU03639605          ";"    10.6";"    43.9"
"18 tot 65 jaar";"Waarde";"2012";"Reigersbos Zuid";"Amsterdam                               ";"Buurt     ";"BU03639606          ";"     8.4";"    36.7"
"18 tot 65 jaar";"Waarde";"2012";"Gein";"Amsterdam                               ";"Wijk      ";"WK036397            ";"     9.2";"    38.7"
"18 tot 65 jaar";"Waarde";"2012";"Gein Noordwest";"Amsterdam                               ";"Buurt     ";"BU03639700          ";"    12.6";"    49.0"
"18 tot 65 jaar";"Waarde";"2012";"Gein Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03639701          ";"    13.2";"    51.6"
"18 tot 65 jaar";"Waarde";"2012";"Gein Noordoost";"Amsterdam                               ";"Buurt     ";"BU03639702          ";"     4.6";"    23.0"
"18 tot 65 jaar";"Waarde";"2012";"Gein Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03639703          ";"     9.6";"    41.2"
"18 tot 65 jaar";"Waarde";"2012";"Driemond";"Amsterdam                               ";"Wijk      ";"WK036398            ";"     4.8";"    26.3"
"18 tot 65 jaar";"Waarde";"2012";"Dorp Driemond";"Amsterdam                               ";"Buurt     ";"BU03639800          ";"     4.9";"    26.7"
"18 tot 65 jaar";"Waarde";"2012";"Landelijk gebied Driemond";"Amsterdam                               ";"Buurt     ";"BU03639801          ";"     2.9";"    14.6"
